Membership No  Date Joined  Active  
    47199      2018-2-5     no    
    68861      2017-4-21    no    
    96715      2017-6-16    yes   
    74526      2016-9-11    no    
    96158      2020-12-20   no    
    54356      2020-10-19   yes   
    31203      2020-3-5     no    
    94252      2018-1-25    yes   
    52045      2016-5-18    yes   
    85513      2018-11-19   yes   
    33346      2015-6-3     yes   
    68825      2018-2-13    no    
    70965      2018-5-3     no    
    14971      2019-6-21    yes   
    94530      2016-4-3     no    
    98987      2020-1-11    no    
    83206      2018-4-24    no    
    83114      2015-4-13    yes   
    34762      2017-12-5    no    
    75316      2016-3-10    yes   
